,series_id,date_index,actuals
236,N1718,01/11/1984,1510
237,N1719,01/11/1984,3240
238,N1720,01/11/1984,4240
239,N1721,01/11/1984,4980
240,N1722,01/11/1984,8750
241,N1723,01/11/1984,3400
242,N1724,01/11/1984,4560
243,N1725,01/11/1984,2880
244,N1726,01/11/1984,3280
245,N1727,01/11/1984,2160
246,N1728,01/11/1984,4680
247,N1729,01/11/1984,3015
248,N1730,01/11/1984,3530
249,N1731,01/11/1984,2740
250,N1732,01/11/1984,5470
251,N1733,01/11/1984,4490
252,N1734,01/11/1984,3040
253,N1735,01/11/1984,2815
254,N1736,01/11/1984,2150
255,N1737,01/11/1984,4905
256,N1738,01/11/1984,6240
257,N1739,01/11/1984,2360
258,N1740,01/11/1984,1778
259,N1741,01/11/1984,3760
260,N1742,01/11/1984,4660
261,N1743,01/11/1984,2710
262,N1744,01/11/1984,4060
263,N1745,01/11/1984,2360
264,N1746,01/11/1984,4520
265,N1747,01/11/1984,3640
266,N1748,01/11/1984,3890
267,N1749,01/11/1984,1180
268,N1750,01/11/1984,2500
269,N1751,01/11/1984,4040
270,N1752,01/11/1984,2360
271,N1753,01/11/1984,2340
272,N1754,01/11/1984,3180
273,N1755,01/11/1984,2600
274,N1756,01/11/1984,2980
275,N1757,01/11/1984,2520
276,N1758,01/11/1984,5140
277,N1759,01/11/1984,5100
278,N1760,01/11/1984,6240
279,N1761,01/11/1984,4820
280,N1762,01/11/1984,3640
281,N1763,01/11/1984,4400
282,N1764,01/11/1984,3520
283,N1765,01/11/1984,9980
284,N1766,01/11/1984,3140
285,N1767,01/11/1984,1835
286,N1768,01/11/1984,3540
287,N1769,01/11/1984,5260
288,N1770,01/11/1984,3060
289,N1771,01/11/1984,5960
290,N1772,01/11/1984,8000
291,N1773,01/11/1984,6220
292,N1774,01/11/1984,4480
293,N1775,01/11/1984,5170
294,N1776,01/11/1984,4445
295,N1777,01/11/1984,4900
296,N1778,01/11/1984,4210
297,N1779,01/11/1984,1410
298,N1780,01/11/1984,2155
299,N1781,01/11/1984,2600
300,N1782,01/11/1984,2040
301,N1783,01/11/1984,6430
302,N1784,01/11/1984,2685
303,N1785,01/11/1984,1776
304,N1786,01/11/1984,1802
305,N1787,01/11/1984,2900
306,N1788,01/11/1984,3740
307,N1789,01/11/1984,1630
308,N1790,01/11/1984,725
309,N1791,01/11/1984,976
310,N1792,01/11/1984,2090
311,N1793,01/11/1984,840
312,N1794,01/11/1984,1090
313,N1795,01/11/1984,790
314,N1796,01/11/1984,392
315,N1797,01/11/1984,634
316,N1798,01/11/1984,3740
317,N1799,01/11/1984,308
318,N1800,01/11/1984,269
319,N1801,01/11/1984,582
320,N1802,01/11/1984,555
321,N1803,01/11/1984,3480
322,N1804,01/11/1984,590
323,N1805,01/11/1984,3480
324,N1806,01/11/1984,3150
325,N1807,01/11/1984,3510
326,N1808,01/11/1984,3640
327,N1809,01/11/1984,3530
328,N1810,01/11/1984,2530
329,N1811,01/11/1984,3450
330,N1812,01/11/1984,3820
331,N1813,01/11/1984,4740
332,N1814,01/11/1984,4040
333,N1815,01/11/1984,5660
334,N1816,01/11/1984,4240
335,N1817,01/11/1984,4600
336,N1818,01/11/1984,6100
337,N1819,01/11/1984,7800
338,N1820,01/11/1984,3670
339,N1821,01/11/1984,5360
340,N1822,01/11/1984,2220
341,N1823,01/11/1984,3420
342,N1824,01/11/1984,8940
343,N1825,01/11/1984,4300
344,N1826,01/11/1984,4190
345,N1827,01/11/1984,3490
346,N1828,01/11/1984,2920
347,N1829,01/11/1984,990
348,N1830,01/11/1984,6060
349,N1831,01/11/1984,3055
350,N1832,01/11/1984,880
351,N1833,01/11/1984,300
352,N1834,01/11/1984,305
353,N1835,01/11/1984,2050
354,N1836,01/11/1984,514
355,N1837,01/11/1984,268
356,N1838,01/11/1984,2040
357,N1839,01/11/1984,250
358,N1840,01/11/1984,770
359,N1841,01/11/1984,680
360,N1842,01/11/1984,6580
361,N1843,01/11/1984,3490
362,N1844,01/11/1984,7420
363,N1845,01/11/1984,6480
364,N1846,01/11/1984,3590
365,N1847,01/11/1984,4480
366,N1848,01/11/1984,3720
367,N1849,01/11/1984,8260
368,N1850,01/11/1984,4480
369,N1851,01/11/1984,4800
370,N1852,01/11/1984,5540
371,N1853,01/11/1984,4530
372,N1854,01/11/1984,5700
373,N1855,01/11/1984,6420
374,N1856,01/11/1984,3580
375,N1857,01/11/1984,2700
376,N1858,01/11/1984,5640
377,N1859,01/11/1984,5960
378,N1860,01/11/1984,2980
379,N1861,01/11/1984,4110
380,N1862,01/11/1984,3350
381,N1863,01/11/1984,4070
382,N1864,01/11/1984,6640
383,N1865,01/11/1984,5190
384,N1866,01/11/1984,2990
385,N1867,01/11/1984,2520
386,N1868,01/11/1984,4700
387,N1869,01/11/1984,7500
388,N1870,01/11/1984,4160
389,N1871,01/11/1984,6640
390,N1872,01/11/1984,5350
391,N1873,01/11/1984,4920
392,N1874,01/11/1984,8260
393,N1875,01/11/1984,2500
394,N1679,01/12/1984,4720
395,N1680,01/12/1984,3220
396,N1681,01/12/1984,4620
397,N1682,01/12/1984,4500
398,N1683,01/12/1984,3030
399,N1684,01/12/1984,5160
400,N1685,01/12/1984,2040
401,N1686,01/12/1984,4940
402,N1687,01/12/1984,6200
403,N1688,01/12/1984,6660
404,N1689,01/12/1984,4620
405,N1690,01/12/1984,3160
406,N1691,01/12/1984,2180
407,N1692,01/12/1984,3460
408,N1693,01/12/1984,4700
409,N1694,01/12/1984,3120
410,N1695,01/12/1984,7850
411,N1696,01/12/1984,4250
412,N1697,01/12/1984,4040
413,N1698,01/12/1984,2380
414,N1699,01/12/1984,3080
415,N1700,01/12/1984,5825
416,N1701,01/12/1984,6068
417,N1702,01/12/1984,3631
418,N1703,01/12/1984,3228
419,N1704,01/12/1984,4380
420,N1705,01/12/1984,506
421,N1706,01/12/1984,3100
422,N1707,01/12/1984,4600
423,N1708,01/12/1984,2940
424,N1709,01/12/1984,800
425,N1710,01/12/1984,1480
426,N1711,01/12/1984,2740
427,N1712,01/12/1984,3600
428,N1713,01/12/1984,4140
429,N1714,01/12/1984,1980
430,N1715,01/12/1984,1135
431,N1716,01/12/1984,3920
432,N1717,01/12/1984,2640
433,N1718,01/12/1984,1560
434,N1719,01/12/1984,3120
435,N1720,01/12/1984,5060
436,N1721,01/12/1984,5100
437,N1722,01/12/1984,7250
438,N1723,01/12/1984,3320
439,N1724,01/12/1984,4080
440,N1725,01/12/1984,2620
441,N1726,01/12/1984,3740
442,N1727,01/12/1984,2040
443,N1728,01/12/1984,5520
444,N1729,01/12/1984,2905
445,N1730,01/12/1984,2370
446,N1731,01/12/1984,2920
447,N1732,01/12/1984,4920
448,N1733,01/12/1984,3630
449,N1734,01/12/1984,3430
450,N1735,01/12/1984,2670
451,N1736,01/12/1984,2680
452,N1737,01/12/1984,5025
453,N1738,01/12/1984,7800
454,N1739,01/12/1984,2505
455,N1740,01/12/1984,1392
456,N1741,01/12/1984,5860
457,N1742,01/12/1984,4810
458,N1743,01/12/1984,1560
459,N1744,01/12/1984,3040
460,N1745,01/12/1984,2870
461,N1746,01/12/1984,5300
462,N1747,01/12/1984,4940
463,N1748,01/12/1984,3940
464,N1749,01/12/1984,1600
465,N1750,01/12/1984,2460
466,N1751,01/12/1984,2160
467,N1752,01/12/1984,2540
468,N1753,01/12/1984,2120
469,N1754,01/12/1984,4760
470,N1755,01/12/1984,2460
471,N1756,01/12/1984,3200
472,N1757,01/12/1984,2820
473,N1758,01/12/1984,5600
474,N1759,01/12/1984,5380
475,N1760,01/12/1984,6040
476,N1761,01/12/1984,2600
477,N1762,01/12/1984,3380
478,N1763,01/12/1984,5720
479,N1764,01/12/1984,4240
480,N1765,01/12/1984,9480
481,N1766,01/12/1984,2760
482,N1767,01/12/1984,1535
483,N1768,01/12/1984,3430
484,N1769,01/12/1984,5200
485,N1770,01/12/1984,2860
486,N1771,01/12/1984,5760
487,N1772,01/12/1984,6720
488,N1773,01/12/1984,5480
489,N1774,01/12/1984,4780
490,N1775,01/12/1984,4430
491,N1776,01/12/1984,4600
492,N1777,01/12/1984,4850
493,N1778,01/12/1984,4110
494,N1779,01/12/1984,4610
495,N1780,01/12/1984,2060
496,N1781,01/12/1984,2460
497,N1782,01/12/1984,2810
498,N1783,01/12/1984,4875
499,N1784,01/12/1984,2405
500,N1785,01/12/1984,1712
501,N1786,01/12/1984,1862
502,N1787,01/12/1984,3380
503,N1788,01/12/1984,5020
504,N1789,01/12/1984,1285
505,N1790,01/12/1984,1420
506,N1791,01/12/1984,696
507,N1792,01/12/1984,1710
508,N1793,01/12/1984,2660
509,N1794,01/12/1984,2050
510,N1795,01/12/1984,2370
511,N1796,01/12/1984,450
512,N1797,01/12/1984,586
513,N1798,01/12/1984,3800
514,N1799,01/12/1984,396
515,N1800,01/12/1984,909
516,N1801,01/12/1984,766
517,N1802,01/12/1984,1100
518,N1803,01/12/1984,2760
519,N1804,01/12/1984,1460
520,N1805,01/12/1984,2880
521,N1806,01/12/1984,2615
522,N1807,01/12/1984,3470
523,N1808,01/12/1984,3950
524,N1809,01/12/1984,3800
525,N1810,01/12/1984,4130
526,N1811,01/12/1984,3520
527,N1812,01/12/1984,3440
528,N1813,01/12/1984,4460
529,N1814,01/12/1984,3310
530,N1815,01/12/1984,4780
531,N1816,01/12/1984,3800
532,N1817,01/12/1984,4420
533,N1818,01/12/1984,4820
534,N1819,01/12/1984,8140
535,N1820,01/12/1984,2990
536,N1821,01/12/1984,5330
537,N1822,01/12/1984,2330
538,N1823,01/12/1984,3620
539,N1824,01/12/1984,8880
540,N1825,01/12/1984,4580
541,N1826,01/12/1984,5320
542,N1827,01/12/1984,3910
543,N1828,01/12/1984,3300
544,N1829,01/12/1984,870
545,N1830,01/12/1984,6580
546,N1831,01/12/1984,2170
547,N1832,01/12/1984,1780
548,N1833,01/12/1984,670
549,N1834,01/12/1984,355
550,N1835,01/12/1984,2000
551,N1836,01/12/1984,360
552,N1837,01/12/1984,266
553,N1838,01/12/1984,2920
554,N1839,01/12/1984,355
555,N1840,01/12/1984,960
556,N1841,01/12/1984,860
557,N1842,01/12/1984,6480
558,N1843,01/12/1984,2660
559,N1844,01/12/1984,5240
560,N1845,01/12/1984,6380
561,N1846,01/12/1984,3055
562,N1847,01/12/1984,4980
563,N1848,01/12/1984,4080
564,N1849,01/12/1984,8160
565,N1850,01/12/1984,4460
566,N1851,01/12/1984,4940
567,N1852,01/12/1984,5500
568,N1853,01/12/1984,4700
569,N1854,01/12/1984,5880
570,N1855,01/12/1984,6600
571,N1856,01/12/1984,3280
572,N1857,01/12/1984,2470
573,N1858,01/12/1984,5300
574,N1859,01/12/1984,6080
575,N1860,01/12/1984,2720
576,N1861,01/12/1984,4170
577,N1862,01/12/1984,3750
578,N1863,01/12/1984,4100
579,N1864,01/12/1984,6920
580,N1865,01/12/1984,5180
581,N1866,01/12/1984,3460
582,N1867,01/12/1984,2860
583,N1868,01/12/1984,4780
584,N1869,01/12/1984,6640
585,N1870,01/12/1984,4840
586,N1871,01/12/1984,6660
587,N1872,01/12/1984,5300
588,N1873,01/12/1984,4620
589,N1874,01/12/1984,8180
590,N1875,01/12/1984,2900
591,N1679,01/01/1985,7020
592,N1680,01/01/1985,3870
593,N1681,01/01/1985,5640
594,N1682,01/01/1985,4980
595,N1683,01/01/1985,3240
596,N1684,01/01/1985,5680
597,N1685,01/01/1985,2980
598,N1686,01/01/1985,6100
599,N1687,01/01/1985,4640
600,N1688,01/01/1985,8260
601,N1689,01/01/1985,5900
602,N1690,01/01/1985,4040
603,N1691,01/01/1985,2800
604,N1692,01/01/1985,4800
605,N1693,01/01/1985,5220
606,N1694,01/01/1985,3340
607,N1695,01/01/1985,7650
608,N1696,01/01/1985,3200
609,N1697,01/01/1985,4660
610,N1698,01/01/1985,7490
611,N1699,01/01/1985,3140
612,N1700,01/01/1985,4645
613,N1701,01/01/1985,7944
614,N1702,01/01/1985,4141
615,N1703,01/01/1985,4538
616,N1704,01/01/1985,9400
617,N1705,01/01/1985,2094
618,N1706,01/01/1985,3340
619,N1707,01/01/1985,5750
620,N1708,01/01/1985,3180
621,N1709,01/01/1985,1710
622,N1710,01/01/1985,1760
623,N1711,01/01/1985,4400
624,N1712,01/01/1985,4140
625,N1713,01/01/1985,4120
626,N1714,01/01/1985,4100
627,N1715,01/01/1985,2680
628,N1716,01/01/1985,4640
629,N1717,01/01/1985,4020
630,N1718,01/01/1985,2410
631,N1719,01/01/1985,3660
632,N1720,01/01/1985,5760
633,N1721,01/01/1985,5100
634,N1722,01/01/1985,6950
635,N1723,01/01/1985,3700
636,N1724,01/01/1985,4500
637,N1725,01/01/1985,2860
638,N1726,01/01/1985,3340
639,N1727,01/01/1985,2360
640,N1728,01/01/1985,5100
641,N1729,01/01/1985,9660
642,N1730,01/01/1985,11610
643,N1731,01/01/1985,2730
644,N1732,01/01/1985,4640
645,N1733,01/01/1985,4910
646,N1734,01/01/1985,4240
647,N1735,01/01/1985,8675
648,N1736,01/01/1985,9190
649,N1737,01/01/1985,6735
650,N1738,01/01/1985,7640
651,N1739,01/01/1985,6550
652,N1740,01/01/1985,2008
653,N1741,01/01/1985,8800
654,N1742,01/01/1985,5250
655,N1743,01/01/1985,2290
656,N1744,01/01/1985,7000
657,N1745,01/01/1985,2240
658,N1746,01/01/1985,5260
659,N1747,01/01/1985,5060
660,N1748,01/01/1985,5110
661,N1749,01/01/1985,1450
662,N1750,01/01/1985,2520
663,N1751,01/01/1985,2720
664,N1752,01/01/1985,2540
665,N1753,01/01/1985,5320
666,N1754,01/01/1985,3660
667,N1755,01/01/1985,3080
668,N1756,01/01/1985,3260
669,N1757,01/01/1985,3860
670,N1758,01/01/1985,5540
671,N1759,01/01/1985,6760
672,N1760,01/01/1985,6580
673,N1761,01/01/1985,5520
674,N1762,01/01/1985,3940
675,N1763,01/01/1985,4530
676,N1764,01/01/1985,4220
677,N1765,01/01/1985,8460
678,N1766,01/01/1985,3500
679,N1767,01/01/1985,1845
680,N1768,01/01/1985,4200
681,N1769,01/01/1985,4880
682,N1770,01/01/1985,3240
683,N1771,01/01/1985,5560
684,N1772,01/01/1985,7000
685,N1773,01/01/1985,6580
686,N1774,01/01/1985,3950
687,N1775,01/01/1985,4430
688,N1776,01/01/1985,4685
689,N1777,01/01/1985,4880
690,N1778,01/01/1985,4100
691,N1779,01/01/1985,2910
692,N1780,01/01/1985,2125
693,N1781,01/01/1985,3780
694,N1782,01/01/1985,1850
695,N1783,01/01/1985,8195
696,N1784,01/01/1985,3550
697,N1785,01/01/1985,1604
698,N1786,01/01/1985,1600
699,N1787,01/01/1985,3560
700,N1788,01/01/1985,6020
701,N1789,01/01/1985,5175
702,N1790,01/01/1985,825
703,N1791,01/01/1985,1110
704,N1792,01/01/1985,1720
705,N1793,01/01/1985,1980
706,N1794,01/01/1985,970
707,N1795,01/01/1985,1230
708,N1796,01/01/1985,484
709,N1797,01/01/1985,922
710,N1798,01/01/1985,3310
711,N1799,01/01/1985,532
712,N1800,01/01/1985,722
713,N1801,01/01/1985,802
714,N1802,01/01/1985,1055
715,N1803,01/01/1985,4120
716,N1804,01/01/1985,1650
717,N1805,01/01/1985,3410
718,N1806,01/01/1985,5475
719,N1807,01/01/1985,8580
720,N1808,01/01/1985,3860
721,N1809,01/01/1985,4130
722,N1810,01/01/1985,4950
723,N1811,01/01/1985,3360
724,N1812,01/01/1985,8550
725,N1813,01/01/1985,5280
726,N1814,01/01/1985,2500
727,N1815,01/01/1985,5220
728,N1816,01/01/1985,3990
729,N1817,01/01/1985,6100
730,N1818,01/01/1985,5130
731,N1819,01/01/1985,8180
732,N1820,01/01/1985,2800
733,N1821,01/01/1985,5350
734,N1822,01/01/1985,1925
735,N1823,01/01/1985,3420
736,N1824,01/01/1985,8640
737,N1825,01/01/1985,4440
738,N1826,01/01/1985,4710
739,N1827,01/01/1985,3810
740,N1828,01/01/1985,3540
741,N1829,01/01/1985,860
742,N1830,01/01/1985,3800
743,N1831,01/01/1985,2390
744,N1832,01/01/1985,1200
745,N1833,01/01/1985,740
746,N1834,01/01/1985,400
747,N1835,01/01/1985,2435
748,N1836,01/01/1985,954
749,N1837,01/01/1985,394
750,N1838,01/01/1985,3380
751,N1839,01/01/1985,535
752,N1840,01/01/1985,1080
753,N1841,01/01/1985,440
754,N1842,01/01/1985,6580
755,N1843,01/01/1985,2760
756,N1844,01/01/1985,5340
757,N1845,01/01/1985,6960
758,N1846,01/01/1985,4005
759,N1847,01/01/1985,4720
760,N1848,01/01/1985,3920
761,N1849,01/01/1985,7800
762,N1850,01/01/1985,4540
763,N1851,01/01/1985,5200
764,N1852,01/01/1985,5590
765,N1853,01/01/1985,4750
766,N1854,01/01/1985,5240
767,N1855,01/01/1985,6720
768,N1856,01/01/1985,3340
769,N1857,01/01/1985,2610
770,N1858,01/01/1985,5420
771,N1859,01/01/1985,6000
772,N1860,01/01/1985,3400
773,N1861,01/01/1985,4290
774,N1862,01/01/1985,3440
775,N1863,01/01/1985,4110
776,N1864,01/01/1985,6780
777,N1865,01/01/1985,5450
778,N1866,01/01/1985,3400
779,N1867,01/01/1985,2760
780,N1868,01/01/1985,5100
781,N1869,01/01/1985,6800
782,N1870,01/01/1985,4100
783,N1871,01/01/1985,6160
784,N1872,01/01/1985,5320
785,N1873,01/01/1985,4900
786,N1874,01/01/1985,8120
787,N1875,01/01/1985,2570
788,N1679,01/02/1985,3840
789,N1680,01/02/1985,2700
790,N1681,01/02/1985,4820
791,N1682,01/02/1985,5120
792,N1683,01/02/1985,3190
793,N1684,01/02/1985,5080
794,N1685,01/02/1985,2570
795,N1686,01/02/1985,4100
796,N1687,01/02/1985,4160
797,N1688,01/02/1985,6340
798,N1689,01/02/1985,3600
799,N1690,01/02/1985,2640
800,N1691,01/02/1985,2180
801,N1692,01/02/1985,1560
802,N1693,01/02/1985,3320
803,N1694,01/02/1985,2080
804,N1695,01/02/1985,6950
805,N1696,01/02/1985,2050
806,N1697,01/02/1985,3100
807,N1698,01/02/1985,2410
808,N1699,01/02/1985,2040
809,N1700,01/02/1985,5520
810,N1701,01/02/1985,7120
811,N1702,01/02/1985,3238
812,N1703,01/02/1985,3898
813,N1704,01/02/1985,4340
814,N1705,01/02/1985,448
815,N1706,01/02/1985,2260
816,N1707,01/02/1985,5600
817,N1708,01/02/1985,2080
818,N1709,01/02/1985,1090
819,N1710,01/02/1985,1540
820,N1711,01/02/1985,6580
821,N1712,01/02/1985,4820
822,N1713,01/02/1985,4540
823,N1714,01/02/1985,5700
824,N1715,01/02/1985,3265
825,N1716,01/02/1985,4740
826,N1717,01/02/1985,4780
827,N1718,01/02/1985,4190
828,N1719,01/02/1985,4540
829,N1720,01/02/1985,4680
830,N1721,01/02/1985,4860
831,N1722,01/02/1985,5650
832,N1723,01/02/1985,4480
833,N1724,01/02/1985,3640
834,N1725,01/02/1985,2640
835,N1726,01/02/1985,1820
836,N1727,01/02/1985,2160
837,N1728,01/02/1985,4260
838,N1729,01/02/1985,3290
839,N1730,01/02/1985,4630
840,N1731,01/02/1985,2920
841,N1732,01/02/1985,4440
842,N1733,01/02/1985,3770
843,N1734,01/02/1985,2140
844,N1735,01/02/1985,3360
845,N1736,01/02/1985,3870
846,N1737,01/02/1985,7160
847,N1738,01/02/1985,5800
848,N1739,01/02/1985,2940
849,N1740,01/02/1985,1248
850,N1741,01/02/1985,3960
851,N1742,01/02/1985,4070
852,N1743,01/02/1985,1860
853,N1744,01/02/1985,3910
854,N1745,01/02/1985,2310
855,N1746,01/02/1985,3600
856,N1747,01/02/1985,3300
857,N1748,01/02/1985,4270
858,N1749,01/02/1985,1410
859,N1750,01/02/1985,2060
860,N1751,01/02/1985,2700
861,N1752,01/02/1985,2180
862,N1753,01/02/1985,3900
863,N1754,01/02/1985,3020
864,N1755,01/02/1985,2420
865,N1756,01/02/1985,3120
866,N1757,01/02/1985,2600
867,N1758,01/02/1985,5260
868,N1759,01/02/1985,5260
869,N1760,01/02/1985,5900
870,N1761,01/02/1985,3180
871,N1762,01/02/1985,3020
872,N1763,01/02/1985,4090
873,N1764,01/02/1985,3540
874,N1765,01/02/1985,8520
875,N1766,01/02/1985,3420
876,N1767,01/02/1985,1590
